so_sanh,chi_so,base,variant,delta,ci_low,ci_high,p_value,b,c,ket_luan
Nấc 2 — prompt hoàn chỉnh (+ hướng dẫn từ khoá + few-shot)  so với  Nấc 1 — prompt cơ bản (danh sách phép toán + yêu cầu),ea,01_basic,02_prompt_eng,0.2455,0.1952,0.2938,0.0,33,155,✅ cải tiến CÓ ý nghĩa (p < 0.05 và KTC không chứa 0)
Nấc 2 — prompt hoàn chỉnh (+ hướng dẫn từ khoá + few-shot)  so với  Nấc 1 — prompt cơ bản (danh sách phép toán + yêu cầu),pa_strict,01_basic,02_prompt_eng,0.2354,0.1871,0.2837,0.0,31,148,✅ cải tiến CÓ ý nghĩa (p < 0.05 và KTC không chứa 0)
Nấc 3 — + SFT Qwen3-8B  so với  Nấc 2 — prompt hoàn chỉnh (+ hướng dẫn từ khoá + few-shot),ea,02_prompt_eng,03_sft,0.0201,-0.0161,0.0584,0.3374,39,49,⚠ chưa phân biệt được với nhiễu (KTC chứa 0)
Nấc 3 — + SFT Qwen3-8B  so với  Nấc 2 — prompt hoàn chỉnh (+ hướng dẫn từ khoá + few-shot),pa_strict,02_prompt_eng,03_sft,0.002,-0.0342,0.0402,1.0,46,47,⚠ chưa phân biệt được với nhiễu (KTC chứa 0)
Nấc 4 — + self-eval (model gốc)  so với  Nấc 3 — + SFT Qwen3-8B,ea,03_sft,04_selfeval_base,-0.002,-0.0382,0.0342,1.0,43,42,⚠ chưa phân biệt được với nhiễu (KTC chứa 0)
Nấc 4 — + self-eval (model gốc)  so với  Nấc 3 — + SFT Qwen3-8B,pa_strict,03_sft,04_selfeval_base,-0.006,-0.0423,0.0282,0.82214,41,38,⚠ chưa phân biệt được với nhiễu (KTC chứa 0)
Nấc 5 — + ACE (model gốc)  so với  Nấc 4 — + self-eval (model gốc),ea,04_selfeval_base,05_ace_base,0.0,-0.0322,0.0322,1.0,32,32,⚠ chưa phân biệt được với nhiễu (KTC chứa 0)
Nấc 5 — + ACE (model gốc)  so với  Nấc 4 — + self-eval (model gốc),pa_strict,04_selfeval_base,05_ace_base,0.008,-0.0262,0.0423,0.72395,34,38,⚠ chưa phân biệt được với nhiễu (KTC chứa 0)
Tổ hợp — prompt + ACE (không self-eval)  so với  Nấc 5 — + ACE (model gốc),ea,05_ace_base,06_comb_E_A,-0.0302,-0.0604,-0.002,0.06274,36,21,⚠ chưa đạt mức ý nghĩa 0.05
Tổ hợp — prompt + ACE (không self-eval)  so với  Nấc 5 — + ACE (model gốc),pa_strict,05_ace_base,06_comb_E_A,-0.0201,-0.0523,0.0101,0.25285,36,26,⚠ chưa phân biệt được với nhiễu (KTC chứa 0)
Mới — self-consistency K mẫu (ví dụ cố định)  so với  Tổ hợp — prompt + ACE (không self-eval),ea,06_comb_E_A,08_tu_nhat_quan,0.0644,0.0362,0.0946,3e-05,13,45,✅ cải tiến CÓ ý nghĩa (p < 0.05 và KTC không chứa 0)
Mới — self-consistency K mẫu (ví dụ cố định)  so với  Tổ hợp — prompt + ACE (không self-eval),pa_strict,06_comb_E_A,08_tu_nhat_quan,0.0543,0.0241,0.0865,0.00073,17,44,✅ cải tiến CÓ ý nghĩa (p < 0.05 và KTC không chứa 0)
Mới — self-consistency + ví dụ truy hồi  so với  Mới — self-consistency K mẫu (ví dụ cố định),ea,08_tu_nhat_quan,09_vidu_dong,0.0463,0.0161,0.0785,0.00444,19,42,✅ cải tiến CÓ ý nghĩa (p < 0.05 và KTC không chứa 0)
Mới — self-consistency + ví dụ truy hồi  so với  Mới — self-consistency K mẫu (ví dụ cố định),pa_strict,08_tu_nhat_quan,09_vidu_dong,0.0463,0.0141,0.0785,0.00762,23,46,✅ cải tiến CÓ ý nghĩa (p < 0.05 và KTC không chứa 0)
Mới — model tự chấm giữa các ứng viên  so với  Mới — self-consistency + ví dụ truy hồi,ea,09_vidu_dong,10_bo_chon,0.0141,-0.006,0.0342,0.24779,10,17,⚠ chưa phân biệt được với nhiễu (KTC chứa 0)
Mới — model tự chấm giữa các ứng viên  so với  Mới — self-consistency + ví dụ truy hồi,pa_strict,09_vidu_dong,10_bo_chon,0.0121,-0.008,0.0322,0.32694,10,16,⚠ chưa phân biệt được với nhiễu (KTC chứa 0)
Nấc 5 — + ACE (model gốc)  so với  Đối chứng — bullet ngẫu nhiên,ea,05_ace_random_base,05_ace_base,0.0221,-0.0101,0.0543,0.22155,28,39,⚠ chưa phân biệt được với nhiễu (KTC chứa 0)
